MI,MI_err,L,p,p_0,L_A,t,runs
1.4711842357439826,0.04286301587455419,10.0,0.4,0.0,5.0,50.0,100.0
2.015955352791026,0.042081256910461634,10.0,0.6,0.0,5.0,0.0,100.0
0.829665821383839,0.020386252007708605,10.0,0.6,0.0,5.0,1.0,100.0
0.806396983568662,0.020129189530909333,10.0,0.6,0.0,5.0,2.0,100.0
0.8853575387261569,0.022821079411951814,10.0,0.6,0.0,5.0,3.0,100.0
0.960052533640945,0.025149502777765502,10.0,0.6,0.0,5.0,4.0,100.0
1.018058351226249,0.02675488941289274,10.0,0.6,0.0,5.0,5.0,100.0
1.0618985105696601,0.027842736503484834,10.0,0.6,0.0,5.0,6.0,100.0
1.095355430872835,0.028608232430684243,10.0,0.6,0.0,5.0,7.0,100.0
1.1213571289665807,0.029174460066223262,10.0,0.6,0.0,5.0,8.0,100.0
1.1419452463105426,0.02961264197282639,10.0,0.6,0.0,5.0,9.0,100.0
1.1585241797379882,0.029963765552213584,10.0,0.6,0.0,5.0,10.0,100.0
1.172071556727504,0.03025196634906079,10.0,0.6,0.0,5.0,11.0,100.0
1.1832822650518342,0.030492559703641904,10.0,0.6,0.0,5.0,12.0,100.0
1.1926596272995094,0.03069549372217914,10.0,0.6,0.0,5.0,13.0,100.0
1.2005775010956043,0.030868108843469504,10.0,0.6,0.0,5.0,14.0,100.0
1.2073171664879876,0.03101558715142951,10.0,0.6,0.0,5.0,15.0,100.0
1.213096008105558,0.031142314709193875,10.0,0.6,0.0,5.0,16.0,100.0
1.2180819843521267,0.03125167189362929,10.0,0.6,0.0,5.0,17.0,100.0
1.222409079188347,0.031346330256853065,10.0,0.6,0.0,5.0,18.0,100.0
1.2261851069119047,0.03142879537095927,10.0,0.6,0.0,5.0,19.0,100.0
1.2294923686976509,0.03150100246035902,10.0,0.6,0.0,5.0,20.0,100.0
1.2324073489646106,0.031564457203932396,10.0,0.6,0.0,5.0,21.0,100.0
1.234995712567621,0.0316201386262833,10.0,0.6,0.0,5.0,22.0,100.0
1.2372573903070094,0.03167017844705306,10.0,0.6,0.0,5.0,23.0,100.0
1.2392938109863427,0.031716366574571955,10.0,0.6,0.0,5.0,24.0,100.0
1.2411346591205383,0.03175564633365277,10.0,0.6,0.0,5.0,25.0,100.0
1.2427318465757855,0.0317928192477266,10.0,0.6,0.0,5.0,26.0,100.0
1.244204639115532,0.031824977272550195,10.0,0.6,0.0,5.0,27.0,100.0
1.245542252580982,0.03185567091541483,10.0,0.6,0.0,5.0,28.0,100.0
1.2467384868196298,0.03188421846453578,10.0,0.6,0.0,5.0,29.0,100.0
1.247810881835247,0.03191182257079136,10.0,0.6,0.0,5.0,30.0,100.0
1.2487884335284372,0.031933169207918215,10.0,0.6,0.0,5.0,31.0,100.0
1.2496642121194947,0.03195427899921724,10.0,0.6,0.0,5.0,32.0,100.0
1.2504918748434835,0.03197751268379684,10.0,0.6,0.0,5.0,33.0,100.0
1.2512261102531173,0.03199584725304713,10.0,0.6,0.0,5.0,34.0,100.0
1.251900231781007,0.03201454169674803,10.0,0.6,0.0,5.0,35.0,100.0
1.2525283262583744,0.03203181654745092,10.0,0.6,0.0,5.0,36.0,100.0
1.2530931712364708,0.03204789564168631,10.0,0.6,0.0,5.0,37.0,100.0
1.2536212734349705,0.032063257928125075,10.0,0.6,0.0,5.0,38.0,100.0
1.254101413111481,0.03207793516660986,10.0,0.6,0.0,5.0,39.0,100.0
1.2545475791884129,0.03209151468290158,10.0,0.6,0.0,5.0,40.0,100.0
1.2549559454318635,0.03210469742427115,10.0,0.6,0.0,5.0,41.0,100.0
1.2553344663493298,0.0321172287897733,10.0,0.6,0.0,5.0,42.0,100.0
1.2556850289827495,0.03212888103768323,10.0,0.6,0.0,5.0,43.0,100.0
1.2560077003298593,0.032140151819018734,10.0,0.6,0.0,5.0,44.0,100.0
1.2563063637623477,0.03215090806049853,10.0,0.6,0.0,5.0,45.0,100.0
1.2565876150057045,0.03216077700964736,10.0,0.6,0.0,5.0,46.0,100.0
1.2568423276255232,0.032170953082620225,10.0,0.6,0.0,5.0,47.0,100.0
1.2570886338029117,0.03217978074120056,10.0,0.6,0.0,5.0,48.0,100.0
1.2573073363592624,0.032188892475751726,10.0,0.6,0.0,5.0,49.0,100.0
1.2575150672163111,0.03219730996289516,10.0,0.6,0.0,5.0,50.0,100.0
2.01751360599484,0.03819478529787961,10.0,0.8,0.0,5.0,0.0,100.0
0.784566661174501,0.020218699150867457,10.0,0.8,0.0,5.0,1.0,100.0
0.7068532049705337,0.0196195753629037,10.0,0.8,0.0,5.0,2.0,100.0
0.7500358811517576,0.020971549651921665,10.0,0.8,0.0,5.0,3.0,100.0
0.8029963918287696,0.022462131066791843,10.0,0.8,0.0,5.0,4.0,100.0
0.8480094283831481,0.023689709604292362,10.0,0.8,0.0,5.0,5.0,100.0
0.8840481337489536,0.02463806343109294,10.0,0.8,0.0,5.0,6.0,100.0
0.9127432066619231,0.025366181374487096,10.0,0.8,0.0,5.0,7.0,100.0
0.9357521338760898,0.025933452153987558,10.0,0.8,0.0,5.0,8.0,100.0
0.9543761353982828,0.026385369528490833,10.0,0.8,0.0,5.0,9.0,100.0
0.9695915498602885,0.02675426408187323,10.0,0.8,0.0,5.0,10.0,100.0
0.982130878956921,0.027061759411651364,10.0,0.8,0.0,5.0,11.0,100.0
0.9925463239057885,0.027322560348198473,10.0,0.8,0.0,5.0,12.0,100.0
